2017-06-12 21:07:08,468 | DEBUG | parsing: sid=jar:file:/D:/workspace/duplex-oracle-server/lib/jetty-all-server-7.1.6.v20100715.jar!/org/eclipse/jetty/webapp/webdefault.xml,pid=null | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,471 | DEBUG | jar:file:/D:/workspace/duplex-oracle-server/lib/jetty-all-server-7.1.6.v20100715.jar!/org/eclipse/jetty/webapp/webdefault.xml: Calculated metadatacomplete = true with version=2.5 | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,471 | DEBUG | Init JSP loggging public static synchronized void org.eclipse.jetty.jsp.JettyLog.init() | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,471 | DEBUG | filterNameMap={} | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,471 | DEBUG | pathFilters=[] | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,471 | DEBUG | servletFilterMap=org.eclipse.jetty.util.MultiMap@0 | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,471 | DEBUG | servletPathMap=null | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,471 | DEBUG | servletNameMap={} | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,471 | DEBUG | filterNameMap={} | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,471 | DEBUG | pathFilters=[] | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,471 | DEBUG | servletFilterMap=org.eclipse.jetty.util.MultiMap@0 | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,471 | DEBUG | servletPathMap={*.jspx=jsp, *.JSPX=jsp, *.jsp=jsp, *.JSPF=jsp, *.jspf=jsp, *.JSP=jsp, *.xsp=jsp, *.XSP=jsp, /=default} | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,471 | DEBUG | servletNameMap={default=default, jsp=jsp} | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,472 | DEBUG | parse: file:/D:/workspace/duplex-oracle-server/webapps/console/WEB-INF/web.xml | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,472 | DEBUG | parsing: sid=file:/D:/workspace/duplex-oracle-server/webapps/console/WEB-INF/web.xml,pid=null | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,472 | DEBUG | file:/D:/workspace/duplex-oracle-server/webapps/console/WEB-INF/web.xml: Calculated metadatacomplete = true with version=2.4 | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,474 | DEBUG | loaded class org.springframework.web.context.ContextLoaderListener from sun.misc.Launcher$AppClassLoader@c387f44 | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,475 | DEBUG | ContextParam: contextConfigLocation=/WEB-INF/applicationContext.xml | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,475 | DEBUG | filterNameMap={Struts2=Struts2} | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,475 | DEBUG | pathFilters=[[*.action]/[]==0=>Struts2] | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,475 | DEBUG | servletFilterMap=org.eclipse.jetty.util.MultiMap@0 | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,475 | DEBUG | servletPathMap={*.jspx=jsp, *.JSPX=jsp, *.jsp=jsp, *.JSPF=jsp, *.jspf=jsp, *.JSP=jsp, *.xsp=jsp, *.XSP=jsp, /=default} | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,475 | DEBUG | servletNameMap={default=default, jsp=jsp} | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,475 | DEBUG | filterNameMap={Struts2=Struts2} | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,475 | DEBUG | pathFilters=[[*.action]/[]==0=>Struts2] | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,475 | DEBUG | servletFilterMap=org.eclipse.jetty.util.MultiMap@0 | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,475 | DEBUG | servletPathMap={*.jspx=jsp, *.JSPX=jsp, *.jsp=jsp, *.JSPF=jsp, *.jspf=jsp, *.JSP=jsp, *.xsp=jsp, *.XSP=jsp, /=default} | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,475 | DEBUG | servletNameMap={default=default, jsp=jsp} | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,475 | DEBUG | Configuring web-jetty.xml | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Container WebAppContext@2a04a2d5@2a04a2d5/console,file:/D:/workspace/duplex-oracle-server/webapps/console/ + SessionHandler@11f88@/console as handler | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Container ServletHandler@2db9ba57@/console + Struts2 as filter | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Container ServletHandler@2db9ba57@/console + [*.action]/[]==0=>Struts2 as filterMapping | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Container ServletHandler@2db9ba57@/console + default as servlet | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Container ServletHandler@2db9ba57@/console + jsp as servlet | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Container ServletHandler@2db9ba57@/console + [/]=>default as servletMapping | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Container ServletHandler@2db9ba57@/console + [*.jsp, *.jspf, *.jspx, *.xsp, *.JSP, *.JSPF, *.JSPX, *.XSP]=>jsp as servletMapping | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Container ConstraintSecurityHandler@4882a25d@/console + ServletHandler@2db9ba57@/console as handler | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Container SessionHandler@11f88@/console + ConstraintSecurityHandler@4882a25d@/console as handler | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Container SessionHandler@11f88@/console + org.eclipse.jetty.server.session.HashSessionManager@31491f91 as sessionManager | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Starting SessionHandler@11f88@/console | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Starting org.eclipse.jetty.server.session.HashSessionManager@31491f91 | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | STARTED org.eclipse.jetty.server.session.HashSessionManager@31491f91 | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Starting ConstraintSecurityHandler@4882a25d@/console | org.eclipse.jetty.util.log | GFGXDB.TEST1
2017-06-12 21:07:08,476 | DEBUG | Starting ServletHandler@2db9ba57@/console | org.eclipse.jetty.util.log | GFGXDB.TEST1
